construct,feature,display_label,n_lsoa,spearman_rho_with_below_c_rate,two_sided_p_value,mean_share_or_value,median_share_or_value,zero_share_lsoas,absolute_rho
Census tenure,owner_occupied_pct,Owner occupied,1702,0.6177997682458256,1.0684378965282212e-179,0.5957538002916589,0.6119127319016524,0,0.6177997682458256
Census tenure,social_rented_pct,Social rented,1702,-0.5755255747778598,1.0268610818205992e-150,0.19877822827741246,0.12902864992150703,1,0.5755255747778598
Census tenure,rent_free_pct,Lives rent free,1702,-0.3531220292749193,3.7357781102068117e-51,0.0018707814582665464,0.0,881,0.3531220292749193
Census tenure,private_rented_pct,Private rented,1702,-0.19916390093396327,1.0973076224431916e-16,0.19795987033691664,0.1556666002887439,0,0.19916390093396327
Census tenure,shared_ownership_pct,Shared ownership,1702,-0.13980970467609766,6.950224620456146e-09,0.00563731963574531,0.0025173074790487996,398,0.13980970467609766
Deprivation,imd_score,IMD score,1702,-0.442032332208837,2.4354557772517533e-82,28.4504964747356,24.9565,0,0.442032332208837
Dwelling age,post_1990_pct,Post-1990,1702,-0.5482793573392026,3.617678164171387e-134,0.19178462716185862,0.12985724759563544,34,0.5482793573392026
Dwelling age,pre_1930_pct,Pre-1930,1702,0.2912320940818489,1.2641656121597928e-34,0.2352308602924803,0.18371569073460275,63,0.2912320940818489
Dwelling age,mid_1930_1990_pct,1930-1990,1702,0.16527499178446134,6.852731762609789e-12,0.572984512545661,0.5872550040344621,6,0.16527499178446134
Dwelling size,median_floor_area,Median floor area,1702,0.4574245530630691,9.21847330524856e-89,78.79054054054055,76.0,0,0.4574245530630691
EPC built form,terraced_pct,Terraced,1702,-0.33301746593677894,2.3437894285741758e-45,0.4669991752594272,0.4616071428571428,8,0.33301746593677894
EPC built form,semi_detached_pct,Semi-detached,1702,0.2862978640148329,1.8062774646159613e-33,0.37927012479124506,0.3589347675225537,0,0.2862978640148329
EPC built form,detached_pct,Detached,1702,0.10667277973756084,1.0328803402686272e-05,0.1537306999493277,0.0909090909090909,19,0.10667277973756084
EPC property category,flat_maisonette_pct,Flat/maisonette,1702,-0.4804913540886448,5.046347070032967e-99,0.2357993158675107,0.1747556376510428,82,0.4804913540886448
EPC property category,house_pct,House,1702,0.34142197092252546,9.958704467695523e-48,0.6975429385722304,0.7458351812839561,6,0.34142197092252546
EPC property category,bungalow_pct,Bungalow,1702,0.22254592013498709,1.5254725220607395e-20,0.06661886547591168,0.03419645840294015,239,0.22254592013498709
EPC property category,park_home_pct,Park home,1702,-0.019541040151481833,0.42044112705764497,3.888008434717504e-05,0.0,1690,0.019541040151481833
Main fuel,electric_fuel_pct,Electric fuel,1702,-0.1930543620893651,9.406937153231175e-16,0.11416090072010142,0.05188221007893135,63,0.1930543620893651
Main fuel,mains_gas_pct,Mains gas,1702,0.18129308965054705,4.83351540102757e-14,0.8796706289167396,0.941669138559788,6,0.18129308965054705
Main fuel,other_fuel_pct,Other fuel,1702,0.140640929999957,5.646483766553387e-09,0.006168470363158955,0.0028288599734318997,706,0.140640929999957
