feature,construct,display_label,count,mean,std,min,25%,50%,75%,max,zero_share_lsoas
pre_1930_pct,Dwelling age,Pre-1930,1702.0,0.2352308602924803,0.2069052348174799,0.0,0.05795266567475895,0.18371569073460275,0.3674955937431152,0.8928571428571429,63
mid_1930_1990_pct,Dwelling age,1930-1990,1702.0,0.572984512545661,0.2508079114014774,0.0,0.3731555779723967,0.5872550040344621,0.7815533980582524,1.0,6
post_1990_pct,Dwelling age,Post-1990,1702.0,0.19178462716185862,0.19417850342754917,0.0,0.05850150279089737,0.12985724759563544,0.2571688153217677,1.0,34
house_pct,EPC property category,House,1702.0,0.6975429385722304,0.20838894272103817,0.0,0.6102245862884161,0.7458351812839561,0.8472735358511221,1.0,6
bungalow_pct,EPC property category,Bungalow,1702.0,0.06661886547591168,0.08615796356470691,0.0,0.0074074074074074,0.03419645840294015,0.09279988445150568,0.6180555555555556,239
flat_maisonette_pct,EPC property category,Flat/maisonette,1702.0,0.2357993158675107,0.22553015054450545,0.0,0.07432172869147653,0.1747556376510428,0.3155458089668616,1.0,82
park_home_pct,EPC property category,Park home,1702.0,3.888008434717504e-05,0.0005840983050034114,0.0,0.0,0.0,0.0,0.0161290322580645,1690
detached_pct,EPC built form,Detached,1702.0,0.1537306999493277,0.16598820239538403,0.0,0.0398550724637681,0.0909090909090909,0.2055852223190933,0.9720670391061452,19
semi_detached_pct,EPC built form,Semi-detached,1702.0,0.37927012479124506,0.20448674732648098,0.0037593984962406,0.21702247678555928,0.3589347675225537,0.512922921274293,0.943127962085308,0
terraced_pct,EPC built form,Terraced,1702.0,0.4669991752594272,0.2506695432660461,0.0,0.2658033910143939,0.4616071428571428,0.6693404971811268,0.9879518072289156,8
median_floor_area,Dwelling size,Median floor area,1702.0,78.79054054054055,15.558636839623562,24.0,70.0,76.0,84.0,265.0,0
mains_gas_pct,Main fuel,Mains gas,1702.0,0.8796706289167396,0.17509900270119658,0.0,0.8581952705908112,0.941669138559788,0.9751568911831624,1.0,6
electric_fuel_pct,Main fuel,Electric fuel,1702.0,0.11416090072010142,0.17442283850633453,0.0,0.019762949039264774,0.05188221007893135,0.13464722363728987,1.0,63
other_fuel_pct,Main fuel,Other fuel,1702.0,0.006168470363158955,0.018325187371726823,0.0,0.0,0.0028288599734318997,0.006325782811459,0.4516129032258064,706
owner_occupied_pct,Census tenure,Owner occupied,1702.0,0.5957538002916589,0.2317024196431881,0.0443101711983887,0.41173742138364783,0.6119127319016524,0.8049930971007824,0.9686346863468634,0
shared_ownership_pct,Census tenure,Shared ownership,1702.0,0.00563731963574531,0.009020555027238567,0.0,0.00119976134477025,0.0025173074790487996,0.0057741090364702,0.068445475638051,398
social_rented_pct,Census tenure,Social rented,1702.0,0.19877822827741246,0.19028076309415962,0.0,0.03937125785865275,0.12902864992150703,0.3079970205850487,0.8821752265861027,1
private_rented_pct,Census tenure,Private rented,1702.0,0.19795987033691664,0.14015023952423789,0.0239852398523985,0.10437930433666212,0.1556666002887439,0.2491425369922379,0.8481613285883749,0
rent_free_pct,Census tenure,Lives rent free,1702.0,0.0018707814582665464,0.0034161111876678143,0.0,0.0,0.0,0.0028479896900949,0.0782778864970645,881
imd_score,Deprivation,IMD score,1702.0,28.4504964747356,18.885893542015747,0.604,11.86075,24.9565,43.077,82.633,0
