lsoa21,lsoa21_name,lad24_name,n_epc,n_valid_rating,epc_coverage_rate,age_missing_rate,fuel_missing_rate,floor_area_missing_rate,below_c_rate
E01004766,Bolton 005A,Bolton,412,412,0.5118012422360249,0.04126213592233008,0.0,0.0,0.5970873786407767
E01004767,Bolton 005B,Bolton,406,406,0.47596717467760846,0.017241379310344862,0.0,0.0,0.4852216748768473
E01004768,Bolton 001A,Bolton,182,182,0.2973856209150327,0.016483516483516536,0.0,0.0,0.6263736263736264
E01004769,Bolton 003A,Bolton,207,207,0.3021897810218978,0.0,0.0,0.0,0.6231884057971014
E01004770,Bolton 003B,Bolton,208,208,0.3404255319148936,0.004807692307692291,0.0,0.0,0.7115384615384616
E01004771,Bolton 003C,Bolton,227,227,0.36261980830670926,0.004405286343612369,0.0,0.0,0.7268722466960352
E01004772,Bolton 005C,Bolton,231,231,0.3088235294117647,0.10822510822510822,0.0,0.0,0.2857142857142857
E01004773,Bolton 003D,Bolton,383,383,0.44638694638694637,0.0026109660574412663,0.0,0.0,0.4856396866840731
E01004774,Bolton 005D,Bolton,259,259,0.35047361299052776,0.0,0.0,0.0,0.4980694980694981
E01004775,Bolton 014A,Bolton,616,616,0.6637931034482759,0.13149350649350644,0.0,0.0,0.19967532467532467
E01004776,Bolton 031A,Bolton,369,369,0.44781553398058255,0.05691056910569103,0.0,0.0,0.4010840108401084
E01004777,Bolton 004A,Bolton,396,396,0.5,0.04797979797979801,0.0,0.0,0.3661616161616162
E01004778,Bolton 009A,Bolton,175,175,0.3234750462107209,0.0971428571428572,0.0,0.0,0.5485714285714286
E01004779,Bolton 007A,Bolton,214,214,0.3440514469453376,0.028037383177570097,0.0,0.0,0.42990654205607476
E01004780,Bolton 009B,Bolton,375,375,0.3834355828220859,0.06399999999999995,0.0,0.0,0.4053333333333333
E01004781,Bolton 007B,Bolton,625,625,0.6558237145855194,0.10880000000000001,0.0,0.0,0.2416
E01004782,Bolton 009C,Bolton,222,222,0.38078902229845624,0.2792792792792793,0.0,0.0,0.3918918918918919
E01004783,Bolton 009D,Bolton,227,227,0.34446130500758726,0.09251101321585908,0.0,0.0,0.5726872246696035
