,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
below_c_rate,1702.0,0.4911341874736711,0.17005875516854085,0.0103204780010863,0.06178169198533261,0.17796474358974362,0.3811035041570764,0.5113895807388957,0.6230930587337911,0.7289143239625167,0.8025436833679622,0.8881118881118881
mean_current_energy_efficiency,1702.0,67.28550869314644,4.051512360508321,57.46853146853147,60.52617807521641,61.80277125935859,64.40900489592407,66.65136352996255,69.46814349479253,75.37845647367288,79.7520357046091,83.50273010920436
epc_coverage_rate,1702.0,0.4460326208047305,0.20921866448423215,0.178988326848249,0.23247318287136357,0.2680909519074781,0.3320443486822391,0.4001594896331738,0.4958805970149254,0.721855765711814,1.4640175430850524,2.6792058516196446
pre_1930_pct,1702.0,0.2352308602924803,0.2069052348174799,0.0,0.0,0.003334170854271325,0.05795266567475895,0.18371569073460275,0.3674955937431152,0.6447044118710421,0.784562484612917,0.8928571428571429
post_1990_pct,1702.0,0.19178462716185862,0.19417850342754917,0.0,0.0,0.009576345984112953,0.05850150279089737,0.12985724759563544,0.2571688153217677,0.590707183347272,0.9559100090975473,1.0
flat_maisonette_pct,1702.0,0.2357993158675107,0.22553015054450545,0.0,0.0,0.004180003951788097,0.07432172869147653,0.1747556376510428,0.3155458089668616,0.7588263035340571,0.9956635490557052,1.0
terraced_pct,1702.0,0.4669991752594272,0.2506695432660461,0.0,0.01076786067682564,0.062214210659806514,0.2658033910143939,0.4616071428571428,0.6693404971811268,0.8691902834008096,0.9483135323873049,0.9879518072289156
median_floor_area,1702.0,78.79054054054055,15.558636839623562,24.0,53.0,60.525000000000006,70.0,76.0,84.0,104.0,132.97000000000003,265.0
electric_fuel_pct,1702.0,0.11416090072010142,0.17442283850633453,0.0,0.0,0.004256228405164505,0.019762949039264774,0.05188221007893135,0.13464722363728987,0.41028738030278705,0.9841022120518688,1.0
private_rented_pct,1702.0,0.19795987033691664,0.14015023952423789,0.0239852398523985,0.04078376422645526,0.06047494870041033,0.10437930433666212,0.1556666002887439,0.2491425369922379,0.48144996059889655,0.7652231808455716,0.8481613285883749
social_rented_pct,1702.0,0.19877822827741246,0.19028076309415962,0.0,0.0037952836884568753,0.00801346359632875,0.03937125785865275,0.12902864992150703,0.3079970205850487,0.5934951668994222,0.701905055343689,0.8821752265861027
imd_score,1702.0,28.4504964747356,18.885893542015747,0.604,2.25554,4.444000000000001,11.86075,24.9565,43.077,63.544499999999985,72.2566,82.633
