imd_decile,n_lsoa,mean_below_c_rate,median_below_c_rate,mean_epc_score
1,392,0.39970298394549253,0.3973502670571074,68.72602776798529
2,237,0.44517613718623344,0.4469525959367946,67.94150697382089
3,184,0.4695194769810532,0.4833435488813975,67.71378557442019
4,147,0.5034489147765375,0.5265017667844523,67.13754367445256
5,124,0.5080576886436777,0.5481318511656632,67.03774878239436
6,106,0.5441105448015879,0.5589427273537009,66.47370146449555
7,118,0.5235247301413788,0.5477137952559301,67.14678240780351
8,124,0.5766881292414233,0.599664923177509,65.8009490377391
9,138,0.5834623582722265,0.6046450017661604,65.6167189944611
10,132,0.5972998171119861,0.6361706599411517,65.54546864971289
