model,n,r2,mae_percentage_points,rmse_percentage_points,fold,held_out_lad
dummy,177,-0.007369698315656148,11.323996939913402,13.899325568853751,1,Bolton
random_forest,177,0.7301003428771866,5.481909860994145,7.19449727652475,1,Bolton
xgboost,177,0.7494719803966676,5.465331918756641,6.9315033710912575,1,Bolton
dummy,120,-0.34746598344169044,12.157757135372169,14.714405196139818,2,Bury
random_forest,120,0.5636088597308211,6.351159870089016,8.373784275853255,2,Bury
xgboost,120,0.5788440187484991,6.144897230816919,8.226314187793406,2,Bury
dummy,295,-0.24263490911694796,17.295236320510316,21.297284531215105,3,Manchester
random_forest,295,0.8204093720571821,6.366777712729781,8.096443556403486,3,Manchester
xgboost,295,0.8130249678871022,6.306750931766021,8.26122149444632,3,Manchester
dummy,142,-0.033760372368666136,11.779456362912123,13.77061431371058,4,Oldham
random_forest,142,0.6765688282024147,5.778619249085694,7.7025461985056065,4,Oldham
xgboost,142,0.6909385174212586,5.7339211690083465,7.529494432597314,4,Oldham
dummy,135,-0.07088239271336394,11.162100737513224,14.333491112771625,5,Rochdale
random_forest,135,0.5936745947853712,6.793677334796023,8.829133448648394,5,Rochdale
xgboost,135,0.5994970117367022,6.912321632291919,8.765646911716415,5,Rochdale
dummy,161,-0.5182689295289684,17.24158651010021,22.423959797171154,6,Salford
random_forest,161,0.7209308568010827,7.5844645199685345,9.613772999763652,6,Salford
xgboost,161,0.7404850361572454,7.2122066894303485,9.270841500449345,6,Salford
dummy,191,-0.6457903440098149,15.537616419142882,17.833783880120908,7,Stockport
random_forest,191,0.6392688425915268,6.4795383498441845,8.34926166379107,7,Stockport
xgboost,191,0.6678650603086937,6.131065879428521,8.0114942741757,7,Stockport
dummy,142,-0.002551919670056524,12.077904250494615,14.85950417703951,8,Tameside
random_forest,142,0.743616688628056,5.466143523945121,7.514425068625833,8,Tameside
xgboost,142,0.7478109911655682,5.593412566264243,7.452705487482023,8,Tameside
dummy,139,-0.37637743155128134,15.351544211557329,17.874493204168616,9,Trafford
random_forest,139,0.6002909203965792,7.439992863090898,9.632454637435538,9,Trafford
xgboost,139,0.591066928559425,7.493905241917431,9.74296366412162,9,Trafford
dummy,200,-0.002374615498238697,12.713938226424466,15.401551098263496,10,Wigan
random_forest,200,0.6920390402195351,6.640904601686937,8.536842388865892,10,Wigan
xgboost,200,0.672802735080702,6.881302571508417,8.799424380768059,10,Wigan
