feature_1,feature_2,mean_absolute_interaction_shap_pp
post_1990_pct,social_rented_pct,0.4396885
pre_1930_pct,social_rented_pct,0.23143445
post_1990_pct,flat_maisonette_pct,0.21811594
flat_maisonette_pct,social_rented_pct,0.21163744
post_1990_pct,imd_score,0.20327875
pre_1930_pct,flat_maisonette_pct,0.20090254
pre_1930_pct,post_1990_pct,0.1781132
post_1990_pct,median_floor_area,0.17264205
pre_1930_pct,terraced_pct,0.16363153
pre_1930_pct,imd_score,0.15456128
post_1990_pct,electric_fuel_pct,0.15220843
terraced_pct,social_rented_pct,0.14040774
median_floor_area,social_rented_pct,0.105806954
private_rented_pct,imd_score,0.10398887
flat_maisonette_pct,electric_fuel_pct,0.1008291
flat_maisonette_pct,terraced_pct,0.092068836
pre_1930_pct,median_floor_area,0.09058348
electric_fuel_pct,social_rented_pct,0.089239515
pre_1930_pct,electric_fuel_pct,0.07183508
flat_maisonette_pct,imd_score,0.066733524
post_1990_pct,private_rented_pct,0.062184136
post_1990_pct,terraced_pct,0.061551977
pre_1930_pct,private_rented_pct,0.057273034
flat_maisonette_pct,median_floor_area,0.056611173
social_rented_pct,imd_score,0.03855763
private_rented_pct,social_rented_pct,0.03344991
terraced_pct,median_floor_area,0.033429675
flat_maisonette_pct,private_rented_pct,0.030963581
terraced_pct,electric_fuel_pct,0.029815594
terraced_pct,private_rented_pct,0.026122838
median_floor_area,electric_fuel_pct,0.024371415
median_floor_area,imd_score,0.021392185
terraced_pct,imd_score,0.0201317
electric_fuel_pct,private_rented_pct,0.01956156
electric_fuel_pct,imd_score,0.019348202
median_floor_area,private_rented_pct,0.01682069
