lsoa21,base_value_pp,shap_pre_1930_pct,shap_post_1990_pct,shap_flat_maisonette_pct,shap_terraced_pct,shap_median_floor_area,shap_electric_fuel_pct,shap_private_rented_pct,shap_social_rented_pct,shap_imd_score
E01004766,49.1134,2.9781458,6.287141,-1.0468576,-0.44001815,-0.26880047,1.9222522,0.22631633,0.87741107,-1.1079525
E01004767,49.1134,0.7982023,-12.830885,-1.1948109,-0.6830484,0.3526964,2.1111739,-0.0925298,3.5711572,0.7006582
E01004768,49.1134,-1.2034109,-5.210553,2.9421058,2.453051,1.1032896,0.15233491,0.9854636,7.7973833,1.8726262
E01004769,49.1134,-0.29955676,3.0587077,0.3650164,0.2855787,-0.5585334,0.5383317,0.33244663,7.358197,1.7194617
E01004770,49.1134,-0.49858823,8.871191,2.17599,0.1694256,0.14221561,0.028599601,0.31134182,7.1833425,1.7891673
E01004771,49.1134,-1.3632376,6.5327883,1.7847768,1.948178,1.4344729,0.29791757,0.150644,7.213784,1.8402754
E01004772,49.1134,-3.2774076,-0.27624774,-2.1378844,1.1351529,-0.25230587,-1.7338934,-0.049126796,-10.278911,-1.7326487
E01004773,49.1134,2.548241,-6.3342414,-1.1621699,-0.8335126,-0.376819,1.9316621,0.010247679,4.3066535,1.3328533
E01004774,49.1134,3.8111248,-1.0049375,0.55754167,-0.9901885,-0.38817847,-0.021116829,-0.024842074,-2.478533,-0.9800711
E01004775,49.1134,-0.5682373,-26.560415,1.0385458,0.48829675,-0.3155554,-0.014337066,0.40054688,4.3328404,0.8799312
E01004776,49.1134,1.3095865,-6.402498,0.39067343,-0.74333143,-0.293642,0.30146292,0.002365606,0.535621,0.8668735
E01004777,49.1134,2.7597666,-12.442341,0.63295996,-0.6914296,-0.048991464,-0.17864287,0.064239934,-1.404038,-0.4156123
E01004778,49.1134,-0.81804144,4.173458,0.440264,0.5653421,0.1930572,0.46315694,-0.18114188,5.158109,1.6542338
E01004779,49.1134,0.6487533,-6.429231,1.1352793,0.42132434,-0.25604054,-1.074196,0.18593103,-0.108914584,1.3328061
E01004780,49.1134,0.6122222,-14.442581,-0.3810215,0.38553205,-0.1489803,-0.062180586,-0.062469084,3.9015794,1.1511955
