scenario,fold,held_out_lad,n,r2,mae,rmse
main_fixed_params,1,Bolton,177,0.7413908671787928,5.502816738652255,7.042408533604594
main_fixed_params,2,Bury,120,0.5682381844276458,6.276913808136088,8.329250463935384
main_fixed_params,3,Manchester,295,0.8216415802322579,6.256804545615389,8.068620067716713
main_fixed_params,4,Oldham,142,0.689667259006965,5.783115574016915,7.544964024988692
main_fixed_params,5,Rochdale,135,0.6037115370058268,6.812793424165944,8.719404130895494
main_fixed_params,6,Salford,161,0.7225061015453653,7.601756696881826,9.58660146009621
main_fixed_params,7,Stockport,191,0.65453064346383,6.3223294843126245,8.170732827832733
main_fixed_params,8,Tameside,142,0.7424228990728619,5.447936280788307,7.531899341665163
main_fixed_params,9,Trafford,139,0.6250414751383333,7.315366404844665,9.329461602822013
main_fixed_params,10,Wigan,200,0.7007073109017383,6.55127340001816,8.415840292738466
exclude_social_rented,1,Bolton,177,0.7108667698937755,5.795027400263403,7.446433066427176
exclude_social_rented,2,Bury,120,0.503918507991461,6.783848575194736,8.928126156321992
exclude_social_rented,3,Manchester,295,0.7876058325075632,6.750652412181612,8.804886283351966
exclude_social_rented,4,Oldham,142,0.665828926144511,6.052336236652237,7.829387747019242
exclude_social_rented,5,Rochdale,135,0.632552742165144,6.5070233249628116,8.396119242154473
exclude_social_rented,6,Salford,161,0.6791498937062792,8.176820154276294,10.308347433064466
exclude_social_rented,7,Stockport,191,0.6503672083288456,6.345958179330525,8.219820301540368
exclude_social_rented,8,Tameside,142,0.707221771902222,5.954562433474302,8.0300873776433
exclude_social_rented,9,Trafford,139,0.6997127256943825,6.557390962929552,8.348980170831597
exclude_social_rented,10,Wigan,200,0.6748330431677493,6.85542313944558,8.772081023542839
exclude_imd,1,Bolton,177,0.747653854300389,5.506258381826126,6.956609475812353
exclude_imd,2,Bury,120,0.5750300645214754,6.176375251426825,8.263478653107882
exclude_imd,3,Manchester,295,0.826830196429576,6.157401826781285,7.950391960774745
exclude_imd,4,Oldham,142,0.6836237736281718,5.913762133852339,7.6180759041543356
exclude_imd,5,Rochdale,135,0.583550555433264,6.982712163694028,8.938450431119987
exclude_imd,6,Salford,161,0.7201014248046498,7.632891116110753,9.628049129854944
exclude_imd,7,Stockport,191,0.6636310957063583,6.229486604497449,8.062396724943863
exclude_imd,8,Tameside,142,0.7348189692305506,5.527301994023129,7.642265283458429
exclude_imd,9,Trafford,139,0.5896403580358665,7.550766238704579,9.759943122487705
exclude_imd,10,Wigan,200,0.7016561128975318,6.5461396278096435,8.402489975827619
non_mains_gas_substitution,1,Bolton,177,0.7385430876741913,5.587728472865363,7.08107754118049
non_mains_gas_substitution,2,Bury,120,0.5605898971727516,6.336958226159061,8.402699356069638
non_mains_gas_substitution,3,Manchester,295,0.8178258147854949,6.360081588037978,8.154472566321683
non_mains_gas_substitution,4,Oldham,142,0.684370200764005,5.854904059126597,7.6090839255959315
non_mains_gas_substitution,5,Rochdale,135,0.5932679141189552,6.88217408773247,8.833550770127337
non_mains_gas_substitution,6,Salford,161,0.7132355283120826,7.7093939969157566,9.745421461417255
non_mains_gas_substitution,7,Stockport,191,0.6575545636249891,6.233064430961168,8.134894701857393
non_mains_gas_substitution,8,Tameside,142,0.7325243456198027,5.50327272908706,7.6752585000847615
non_mains_gas_substitution,9,Trafford,139,0.6161154438284085,7.366763382711396,9.439854185998334
non_mains_gas_substitution,10,Wigan,200,0.6996198332573813,6.515117235452184,8.431115874325247
coverage_025_to_125,1,Bolton,176,0.7495329979018498,5.469875219655024,6.94967897480462
coverage_025_to_125,2,Bury,117,0.5572975768534529,6.36460921478872,8.474573989003582
coverage_025_to_125,3,Manchester,285,0.8042303068612202,6.341632633244661,8.172369359357537
coverage_025_to_125,4,Oldham,139,0.6827773673748968,5.784377038961271,7.6392586205535995
coverage_025_to_125,5,Rochdale,133,0.5711240087865345,6.918379683737573,8.961840004988165
coverage_025_to_125,6,Salford,149,0.6600766014811708,7.607943330474282,9.698997589620921
coverage_025_to_125,7,Stockport,185,0.6551562534114661,6.392545293969773,8.247399640483204
coverage_025_to_125,8,Tameside,138,0.7393928200814308,5.437626751816715,7.610362152625127
coverage_025_to_125,9,Trafford,136,0.6094430250877927,7.46976190203936,9.539633559553895
coverage_025_to_125,10,Wigan,177,0.7032573970238072,6.339733785954002,8.301752044709286
age_missing_le_030,1,Bolton,176,0.758252137721722,5.392177609526299,6.748754922039522
age_missing_le_030,2,Bury,118,0.6185886696051259,5.8814213139084295,7.806695734430258
age_missing_le_030,3,Manchester,279,0.8141019258819752,6.191755010222593,7.954137924189554
age_missing_le_030,4,Oldham,140,0.6887839505925815,5.703902736864887,7.499532853358073
age_missing_le_030,5,Rochdale,132,0.5781955655197885,6.800779354928463,8.689407141845486
age_missing_le_030,6,Salford,141,0.7238477889648587,6.984144990227146,8.703552176128875
age_missing_le_030,7,Stockport,183,0.6695831150207684,5.546126153436889,7.071510234159869
age_missing_le_030,8,Tameside,137,0.7708311178175722,5.072330679060257,6.725084729989548
age_missing_le_030,9,Trafford,136,0.6289108520764113,6.790604911700061,8.82645123060831
age_missing_le_030,10,Wigan,184,0.7129049629953502,5.759961183696157,7.43195285575825
mean_epc_score_outcome,1,Bolton,177,0.6509192068731522,1.491591623906782,1.9467268708182313
mean_epc_score_outcome,2,Bury,120,0.5701879519613693,1.4528556120960472,1.9203196554972046
mean_epc_score_outcome,3,Manchester,295,0.7963473774862537,1.5512111946975433,2.063253011140861
