scenario,target,target_unit,feature,mean_absolute_shap,spearman_feature_vs_shap,mean_shap_below_feature_median,mean_shap_above_feature_median,importance_rank
age_missing_le_030,below_c_rate,percentage points,post_1990_pct,5.774419,-0.9875893576039493,5.5766187,-5.518143,1
age_missing_le_030,below_c_rate,percentage points,social_rented_pct,5.7155585,-0.9822107836242983,5.145427,-5.582179,2
age_missing_le_030,below_c_rate,percentage points,pre_1930_pct,2.36914,0.9565971770099329,-2.1096456,2.2581034,3
age_missing_le_030,below_c_rate,percentage points,imd_score,1.5088487,-0.8940040315015456,1.4884877,-1.3834223,4
age_missing_le_030,below_c_rate,percentage points,flat_maisonette_pct,1.4609387,-0.9639924180238792,1.5054543,-1.3116171,5
age_missing_le_030,below_c_rate,percentage points,terraced_pct,0.9421728,-0.916025398212226,0.92014587,-0.9029194,6
age_missing_le_030,below_c_rate,percentage points,electric_fuel_pct,0.6106036,0.7997898254394856,-0.47150227,0.46731368,7
age_missing_le_030,below_c_rate,percentage points,median_floor_area,0.5934099,0.33923418405120537,-0.30070823,0.328392,8
age_missing_le_030,below_c_rate,percentage points,private_rented_pct,0.30233476,-0.5467262843051662,0.12638311,-0.21993794,9
coverage_025_to_125,below_c_rate,percentage points,post_1990_pct,6.353157,-0.9863337679006828,6.1259403,-6.23647,1
coverage_025_to_125,below_c_rate,percentage points,social_rented_pct,4.988483,-0.9787128504780928,4.5617266,-4.9620547,2
coverage_025_to_125,below_c_rate,percentage points,pre_1930_pct,2.4471004,0.9620765355414688,-2.2156754,2.3941848,3
coverage_025_to_125,below_c_rate,percentage points,imd_score,2.0354435,-0.8663056587367547,2.0420802,-1.8201234,4
coverage_025_to_125,below_c_rate,percentage points,flat_maisonette_pct,1.4745979,-0.9644174300747627,1.5351123,-1.3411463,5
coverage_025_to_125,below_c_rate,percentage points,terraced_pct,0.67734855,-0.9102965416834781,0.68296355,-0.6271939,6
coverage_025_to_125,below_c_rate,percentage points,median_floor_area,0.61080587,0.28943681712747293,-0.2861516,0.21260868,7
coverage_025_to_125,below_c_rate,percentage points,electric_fuel_pct,0.6003509,0.7731660307061078,-0.44783583,0.43790185,8
coverage_025_to_125,below_c_rate,percentage points,private_rented_pct,0.223822,0.010019003409538221,-0.015128623,-0.037089203,9
exclude_imd,below_c_rate,percentage points,post_1990_pct,6.1943603,-0.987773053568116,5.9631896,-6.055444,1
exclude_imd,below_c_rate,percentage points,social_rented_pct,6.1827283,-0.9763532243792827,5.6657944,-5.986396,2
exclude_imd,below_c_rate,percentage points,pre_1930_pct,2.296263,0.9613168477454029,-2.0331173,2.3503027,3
exclude_imd,below_c_rate,percentage points,flat_maisonette_pct,1.5622613,-0.9721367486573104,1.6413201,-1.4436508,4
exclude_imd,below_c_rate,percentage points,terraced_pct,1.0528797,-0.9451843367690287,1.020186,-1.0632658,5
exclude_imd,below_c_rate,percentage points,median_floor_area,0.9125701,0.43862158616908203,-0.4820355,0.49086115,6
exclude_imd,below_c_rate,percentage points,electric_fuel_pct,0.8797976,0.6940531543845928,-0.2677071,0.31252918,7
exclude_imd,below_c_rate,percentage points,private_rented_pct,0.28129968,-0.8251890916336712,0.20962994,-0.29704633,8
exclude_social_rented,below_c_rate,percentage points,post_1990_pct,6.1373706,-0.9882519935567908,5.909213,-6.0780807,1
exclude_social_rented,below_c_rate,percentage points,imd_score,5.0331635,-0.9476012460076153,5.004254,-4.7234836,2
exclude_social_rented,below_c_rate,percentage points,pre_1930_pct,3.5212317,0.9573953225509718,-3.3056982,3.2876205,3
exclude_social_rented,below_c_rate,percentage points,flat_maisonette_pct,2.6653373,-0.9761796908841612,2.6794884,-2.4782362,4
exclude_social_rented,below_c_rate,percentage points,terraced_pct,1.2009904,-0.9496561989024185,1.1432137,-1.2350368,5
exclude_social_rented,below_c_rate,percentage points,median_floor_area,0.96916586,0.5224696930838374,-0.5794726,0.6739642,6
exclude_social_rented,below_c_rate,percentage points,electric_fuel_pct,0.83287126,0.8121511002740424,-0.7469984,0.7042688,7
exclude_social_rented,below_c_rate,percentage points,private_rented_pct,0.6386503,0.551788377158269,-0.53999877,0.317386,8
expanded_complete_categories,below_c_rate,percentage points,post_1990_pct,6.238779,-0.9873432566610422,5.963436,-6.1200714,1
expanded_complete_categories,below_c_rate,percentage points,social_rented_pct,5.8198586,-0.9727508624571998,5.228532,-5.605593,2
expanded_complete_categories,below_c_rate,percentage points,pre_1930_pct,2.3947392,0.9623444165678158,-2.0842974,2.400986,3
expanded_complete_categories,below_c_rate,percentage points,flat_maisonette_pct,1.2138641,-0.9572986247031359,1.2417077,-1.0811223,4
expanded_complete_categories,below_c_rate,percentage points,semi_detached_pct,0.81180155,0.8932841109642503,-0.7750197,0.78388363,5
expanded_complete_categories,below_c_rate,percentage points,imd_score,0.7840933,-0.8807160754387728,0.7914683,-0.6937796,6
