lsoa21,lad24_name,epc_coverage_rate,below_c_rate,lisa_cluster,coverage_local_moran_i,coverage_local_p_sim,coverage_local_p_fdr,coverage_lisa_quadrant,coverage_lisa_cluster,same_cluster_label_as_main
E01004766,Bolton,0.5118012422360249,0.5970873786407767,Not significant,0.051077565869551894,0.387,0.46593888070692197,High-High,Not significant,True
E01004767,Bolton,0.4759671746776084,0.4852216748768473,Not significant,-0.012092352755101942,0.211,0.39069648924122313,Low-High,Not significant,True
E01004768,Bolton,0.2973856209150327,0.6263736263736264,Not significant,0.3690685264526412,0.102,0.29806194690265486,High-High,Not significant,True
E01004769,Bolton,0.3021897810218978,0.6231884057971014,Not significant,0.47282516535138697,0.055,0.22708333333333333,High-High,Not significant,True
E01004770,Bolton,0.3404255319148936,0.7115384615384616,Not significant,0.5562459406992907,0.178,0.3681320754716981,High-High,Not significant,True
E01004771,Bolton,0.3626198083067092,0.7268722466960352,Not significant,0.15012147578744411,0.417,0.47544979079497907,High-High,Not significant,True
E01004772,Bolton,0.3088235294117647,0.2857142857142857,Not significant,-0.7156891849550013,0.098,0.29292504570383915,Low-High,Not significant,True
E01004773,Bolton,0.4463869463869463,0.4856396866840731,Not significant,-0.018297851104958986,0.117,0.3115553745928339,Low-High,Not significant,True
E01004774,Bolton,0.3504736129905277,0.4980694980694981,Not significant,-0.006948377234888986,0.348,0.44836879432624105,High-Low,Not significant,True
E01004775,Bolton,0.6637931034482759,0.1996753246753246,Not significant,0.19671362097816733,0.378,0.4616186252771619,Low-Low,Not significant,True
E01004776,Bolton,0.4478155339805825,0.4010840108401084,Not significant,0.41753274917690514,0.01,0.09396551724137932,Low-Low,Not significant,True
E01004777,Bolton,0.5,0.3661616161616162,Not significant,0.18898361021372193,0.269,0.42747137404580154,Low-Low,Not significant,True
E01004778,Bolton,0.3234750462107209,0.5485714285714286,Not significant,-0.1930730769488801,0.216,0.3945921787709497,High-Low,Not significant,True
E01004779,Bolton,0.3440514469453376,0.4299065420560747,Not significant,0.35999059522204574,0.068,0.24872483221476513,Low-Low,Not significant,True
E01004780,Bolton,0.3834355828220859,0.4053333333333333,Not significant,0.22618393096527406,0.12,0.3134185303514377,Low-Low,Not significant,True
E01004781,Bolton,0.6558237145855194,0.2416,Not significant,0.626626539043466,0.119,0.31280546623794214,Low-Low,Not significant,True
E01004782,Bolton,0.3807890222984562,0.3918918918918919,Not significant,-0.17326490976381412,0.292,0.43010810810810807,Low-High,Not significant,True
E01004783,Bolton,0.3444613050075872,0.5726872246696035,Not significant,-0.2518007704760639,0.16,0.35428667563930016,High-Low,Not significant,True
E01004784,Bolton,0.2608695652173913,0.6893939393939394,Not significant,0.8790840858552533,0.066,0.24636986301369865,High-High,Not significant,True
E01004785,Bolton,0.3046153846153846,0.5454545454545454,Not significant,0.06359837728549102,0.278,0.42857742537313437,High-High,Not significant,True
E01004786,Bolton,0.3430232558139535,0.4745762711864407,Not significant,-0.008076623881759446,0.44,0.48101067378252166,Low-High,Not significant,True
E01004787,Bolton,0.3647214854111406,0.3054545454545455,Not significant,0.31584970412272606,0.328,0.4410197368421052,Low-Low,Not significant,True
E01004788,Bolton,0.2648026315789473,0.6770186335403726,Not significant,0.7247098412259311,0.064,0.2450585480093677,High-High,Not significant,True
E01004789,Bolton,0.3388157894736842,0.7184466019417476,Not significant,1.0341065718699918,0.014,0.11165853658536586,High-High,Not significant,True
E01004790,Bolton,0.3555900621118012,0.6506550218340611,Not significant,0.39827905876134145,0.146,0.33955903271692744,High-High,Not significant,True
E01004791,Bolton,0.3526717557251908,0.5974025974025974,High-High,0.7003333926455172,0.003,0.04541666666666667,High-High,High-High,True
E01004792,Bolton,0.3140625,0.8407960199004975,Not significant,1.9440428007806414,0.014,0.11165853658536586,High-High,Not significant,True
E01004793,Bolton,0.3717579250720461,0.3488372093023256,Not significant,0.2539462650836187,0.278,0.42857742537313437,Low-Low,Not significant,True
E01004794,Bolton,0.2871012482662968,0.4251207729468599,Not significant,0.05025878328821148,0.375,0.4616186252771619,Low-Low,Not significant,True
E01004795,Bolton,0.3400576368876081,0.4491525423728814,Not significant,-0.0768527011131584,0.202,0.386280701754386,Low-High,Not significant,True
E01004796,Bolton,0.4074626865671641,0.5311355311355311,Not significant,-0.05312614524992841,0.3,0.4336870026525199,High-Low,Not significant,True
E01004797,Bolton,0.3636363636363636,0.5,Not significant,-0.004344820402742901,0.396,0.46985486211901306,High-Low,Not significant,True
E01004798,Bolton,0.3583208395802099,0.5815899581589958,Not significant,0.014684824364922713,0.485,0.4977871939736347,High-High,Not significant,True
