lsoa21,lsoa21_name,lad24_name,below_c_rate,local_moran_i,local_p_sim,local_p_fdr,lisa_quadrant,lisa_cluster
E01004766,Bolton 005A,Bolton,0.5970873786407767,0.05543600973723421,0.414,0.4738458471760797,High-High,Not significant
E01004767,Bolton 005B,Bolton,0.4852216748768473,-0.009078764166707963,0.249,0.4090714285714286,Low-High,Not significant
E01004768,Bolton 001A,Bolton,0.6263736263736264,0.3599725306919666,0.132,0.31822096317280457,High-High,Not significant
E01004769,Bolton 003A,Bolton,0.6231884057971014,0.45875156120523686,0.079,0.2575823754789272,High-High,Not significant
E01004770,Bolton 003B,Bolton,0.7115384615384616,0.5408194773790294,0.192,0.37134545454545453,High-High,Not significant
E01004771,Bolton 003C,Bolton,0.7268722466960352,0.15686294841688955,0.432,0.4768249027237354,High-High,Not significant
E01004772,Bolton 005C,Bolton,0.2857142857142857,-0.6795787938784862,0.105,0.2962430213464696,Low-High,Not significant
E01004773,Bolton 003D,Bolton,0.4856396866840731,-0.013292571148276703,0.151,0.3395006605019815,Low-High,Not significant
E01004774,Bolton 005D,Bolton,0.4980694980694981,-0.008390261636591253,0.343,0.4449588414634147,High-Low,Not significant
E01004775,Bolton 014A,Bolton,0.1996753246753246,0.13221681799399673,0.378,0.46184924623115575,Low-Low,Not significant
E01004776,Bolton 031A,Bolton,0.4010840108401084,0.37910364475118574,0.018,0.13148497854077254,Low-Low,Not significant
E01004777,Bolton 004A,Bolton,0.3661616161616162,0.1673028730035738,0.255,0.41216524216524214,Low-Low,Not significant
E01004778,Bolton 009A,Bolton,0.5485714285714286,-0.18375475928915044,0.217,0.3904164904862579,High-Low,Not significant
E01004779,Bolton 007A,Bolton,0.4299065420560747,0.32484521200818733,0.07,0.2487265135699374,Low-Low,Not significant
E01004780,Bolton 009B,Bolton,0.4053333333333333,0.2028576431776472,0.129,0.31545689655172415,Low-Low,Not significant
E01004781,Bolton 007B,Bolton,0.2416,0.5691566363416017,0.121,0.31271686746987953,Low-Low,Not significant
E01004782,Bolton 009C,Bolton,0.3918918918918919,-0.1661195891979148,0.308,0.4321648804616653,Low-High,Not significant
E01004783,Bolton 009D,Bolton,0.5726872246696035,-0.18012683544638278,0.193,0.37225253664036073,High-Low,Not significant
E01004784,Bolton 006A,Bolton,0.6893939393939394,0.8461225453434194,0.066,0.24634210526315792,High-High,Not significant
E01004785,Bolton 006B,Bolton,0.5454545454545454,0.06520682324266114,0.307,0.43182975206611574,High-High,Not significant
E01004786,Bolton 006C,Bolton,0.4745762711864407,-0.007877348750480554,0.443,0.4817801916932907,Low-High,Not significant
E01004787,Bolton 013A,Bolton,0.3054545454545455,0.2824252856450436,0.347,0.4464051398337112,Low-Low,Not significant
